event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IDN3016,"31 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"West Java",Bogor,Dramaga,Dramaga,-6.6269,106.7236,1,Kompas,National,"On 31 October 2016, dozens of people held a peaceful protest in Dramaga district, Bogor regency, West Java province, regarding air pollution caused by a landfill in their area. They demanded the government solve the issue.",0,"crowd size=dozens",1649876513
IDN6481,"28 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"East Nusa Tenggara",Belu,"East Tasifeto",Silawan,-8.963,124.944,1,Kompas,National,"On 28 December 2016, a group of people, former East Timor residents (Indonesian nationals), held a peaceful protest in Silawan village (East Tasifeto district, Belu regency, East Nusa Tenggara province) demanding the Indonesian government give proper attention to former East Timor residents who decided to stay in Indonesia after the East Timor independence. They intercepted the president's vehicle and held a banner in front of it.",0,"crowd size=no report",1631035315
IDN3014,"27 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,"East Java",Pasuruan,Beji,Beji,-7.5922,112.7454,1,Kompas,National,"On 27 December 2016, a group of people held a peaceful protest in Beji district, Pasuruan regency, East Java province, demanding the government fix damaged roads in their district.",0,"crowd size=no report",1649876513
IDN3015,"27 December 2016",2016,1,Demonstrations,Protests,"Peaceful protest","Protesters (Indonesia)",,6,,,0,60,,360,"Southeast Asia",Indonesia,Yogyakarta,Bantul,Kretek,Kretek,-7.9783,110.3027,1,Tribunnews,National,"On 27 December 2016, dozens of people held a peaceful protest in Kretek district, Bantul regency, Yogyakarta province, demanding the cancellation of public servants inauguration due to alleged fraud.",0,"crowd size=dozens",1649876513
IDN3013,"23 December 2016",2016,1,"Political violence","Violence against civilians",Attack,"Police Forces of Indonesia (2014-)",,1,"Civilians (Indonesia)","Papuan Ethnic Group (Indonesia); Prisoners (Indonesia)",7,17,"Civilian targeting",360,"Southeast Asia",Indonesia,Papua,Dogiyai,Kamu,Moanemani,-4.0083,136.0356,1,HumanRightsPapua,Other,"On 23 December 2016, the police arrested a Papuan man during a sweep in the Moanemani village (Kamu district, Dogiyai regency, Papua province). He was subsequently detained. He was allegedly tortured during detention causing severe injuries which resulted in his death on 7 January 2017. Apart from that, dozens of villagers reported that they were beaten or insulted during the police sweepings.",1,,1657632894
IDN218,"21 December 2016",2016,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Indonesia)",,3,"Police Forces of Indonesia (2014-) Detachment 88",,1,13,,360,"Southeast Asia",Indonesia,Banten,"South Tangerang",Ciputat,"South Tangerang",-6.2886,106.7178,1,Tempo,National,"On 21 December 2016, in South Tangerang (South Tangerang, Banten), Detachment 88 (Densus 88) shot and killed three alleged militants during a raid.",3,,1651182384
IDN217,"20 December 2016",2016,1,"Political violence",Battles,"Armed clash","MIT: Mujahidin Indonesia Timur",,2,"Military Forces of Indonesia (2014-)",,1,12,,360,"Southeast Asia",Indonesia,"Central Sulawesi",Poso,Poso,Poso,-1.3959,120.752,2,Tempo,National,"On 20 December 2016, in Poso regency (South Sulawesi), a member of the National Armed Forces (TNI) was killed in a firefight between Tim Nanggala 8 of Tinombala Task Force and the East Indonesian Mujahideen (MIT) group.",1,,1651182384
IDN633,"19 December 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","KNPB: National Committee for West Papua; Papuan Ethnic Group (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Papua,Jayapura,"North Jayapura",Jayapura,-2.5337,140.718,1,"Amnesty International",Other,"On 19 December 2016, at least 528 people, including children, were arrested for coordinated peaceful political activities in cities across Indonesia. This included Jayapura city, Papua province. Everyone was released the next day without charge, except two activists from the KNPB who remained in detention by the Jayapura Resort Police.",0,"crowd size=no report",1618531861
IDN638,"19 December 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","Papuan Ethnic Group (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Yogyakarta,Yogyakarta,Danurejan,Yogyakarta,-7.795,110.369,1,"Amnesty International",Other,"On 19 December 2016, at least 528 people, including children, were arrested for coordinated peaceful political activities in cities across Indonesia. This included Yogyakarta city. Everyone was released the next day without charge.",0,"crowd size=no report",1618531862
IDN636,"19 December 2016",2016,1,Demonstrations,Protests,"Protest with intervention","Protesters (Indonesia)","Papuan Ethnic Group (Indonesia)",6,"Police Forces of Indonesia (2014-)",,1,16,,360,"Southeast Asia",Indonesia,Papua,Nabire,Nabire,Nabire,-3.3598,135.5007,1,"Amnesty International",Other,"On 19 December 2016, at least 528 people, including children, were arrested for coordinated peaceful political activities in cities across Indonesia. This included Nabire city, Papua province. Everyone was released the next day without charge.",0,"crowd size=no report",1572403696
